Both candidate points, identical machinery, identical families (na=200 ne=80 theta=0.005):
headline               k=10.00 s=0.510 | rate 0.3526 groups 0.267/0.439 | rtloss 0.0200 | slope 0.8789 mult 8.3 | sigbar 0.4626 ratio 1.103 | nstable 1
nz-sweep winner        k=9.95 s=0.470 | rate 0.3568 groups 0.264/0.450 | rtloss 0.0137 | slope 0.9439 mult 17.8 | sigbar 0.4600 ratio 1.022 | nstable 1

Dense scan of the fine neighbourhood (best loss at each sigma, kappa free):
sigma   kappa*  rate     groups        rtloss   slope   ratio
0.440   9.95    0.4613   0.356/0.567  0.1576   0.9390  1.022
0.450   9.95    0.4149   0.313/0.516  0.0919   0.9545  1.008
0.460   9.95    0.3787   0.282/0.476  0.0408   0.9539  1.009
0.470   9.95    0.3568   0.264/0.450  0.0137   0.9439  1.022
0.480   9.95    0.3437   0.254/0.434  0.0166   0.9294  1.039
0.490   9.95    0.3351   0.248/0.423  0.0275   0.9139  1.058
0.500   10.00   0.3623   0.274/0.451  0.0238   0.8928  1.085
0.510   10.00   0.3526   0.267/0.439  0.0200   0.8789  1.103
0.520   10.00   0.3448   0.261/0.429  0.0240   0.8662  1.121
0.530   10.05   0.3604   0.277/0.444  0.0273   0.8475  1.146
0.540   10.05   0.3527   0.271/0.434  0.0262   0.8352  1.164
0.550   10.05   0.3461   0.266/0.426  0.0292   0.8231  1.183
0.560   10.10   0.3566   0.277/0.436  0.0308   0.8078  1.207
DONE
