country	year	gini_obs	alpha_low	Q_steady	Q_impact	r_low	r_high	enj_gap	gini_model
United States	1963	36.7	0.7721	0.3802	0.3802	0.2764	0.484	0.07788	0.1267
United States	1964	37.4	0.7576	0.3448	0.3772	0.239	0.4506	0.07018	0.1285
United States	1965	36.8	0.77	0.3774	0.3773	0.2731	0.4816	0.07741	0.127
United States	1966	37.1	0.7638	0.3685	0.376	0.2629	0.474	0.07592	0.1277
United States	1967	36.9	0.7679	0.3746	0.3758	0.2699	0.4792	0.07694	0.1272
United States	1968	36.3	0.7804	0.3921	0.3781	0.29	0.4941	0.07983	0.1257
United States	1969	36.0	0.7866	0.4062	0.3815	0.3058	0.5065	0.08235	0.1249
United States	1970	36.6	0.7742	0.3831	0.3817	0.2797	0.4865	0.07835	0.1265
United States	1971	36.9	0.7679	0.3746	0.3806	0.2699	0.4792	0.07694	0.1272
United States	1972	36.7	0.7721	0.3802	0.3806	0.2764	0.484	0.07788	0.1267
United States	1973	36.1	0.7845	0.3985	0.3831	0.2974	0.4996	0.08089	0.1252
United States	1974	35.5	0.797	0.434	0.388	0.3334	0.5346	0.08964	0.1236
United States	1975	35.7	0.7928	0.4237	0.3913	0.323	0.5244	0.08704	0.1241
United States	1976	35.6	0.7949	0.4295	0.3947	0.3287	0.5304	0.08861	0.1239
United States	1977	35.5	0.797	0.434	0.3982	0.3334	0.5346	0.08964	0.1236
United States	1978	34.8	0.8115	0.4534	0.4115	0.357	0.5497	0.09179	0.122
United States	1979	34.8	0.8115	0.4534	0.4211	0.357	0.5497	0.09179	0.122
United States	1980	34.7	0.8136	0.4562	0.4302	0.3604	0.5519	0.09208	0.1217
United States	1981	35.5	0.797	0.434	0.431	0.3334	0.5346	0.08964	0.1236
United States	1982	36.7	0.7721	0.3802	0.4212	0.2764	0.484	0.07788	0.1267
United States	1983	37.3	0.7596	0.3606	0.4077	0.2539	0.4673	0.07458	0.1282
United States	1984	37.3	0.7596	0.3606	0.3959	0.2539	0.4673	0.07458	0.1282
United States	1985	37.6	0.7534	0.327	0.3894	0.2217	0.4322	0.06556	0.129
United States	1986	37.6	0.7534	0.327	0.3839	0.2217	0.4322	0.06556	0.129
United States	1987	37.2	0.7617	0.3647	0.3812	0.2585	0.4708	0.07528	0.128
United States	1988	37.7	0.7514	0.323	0.3768	0.2176	0.4284	0.06467	0.1292
United States	1989	38.2	0.741	0.2999	0.3711	0.1936	0.4062	0.05961	0.1304
United States	1990	38.3	0.7389	0.2951	0.364	0.1885	0.4018	0.05864	0.1306
United States	1991	38.0	0.7451	0.3106	0.3589	0.2049	0.4163	0.06186	0.1299
United States	1992	38.4	0.7368	0.2905	0.3317	0.1836	0.3975	0.0577	0.1309
United States	1993	40.4	0.6954	0.2477	0.3138	0.1432	0.3523	0.04699	0.1362
United States	1994	40.0	0.7037	0.2487	0.2979	0.1441	0.3533	0.04723	0.1351
United States	1995	39.9	0.7057	0.2489	0.2865	0.1443	0.3536	0.04729	0.1348
United States	1996	40.3	0.6974	0.248	0.2664	0.1434	0.3525	0.04705	0.1359
United States	1997	40.5	0.6933	0.2475	0.2567	0.143	0.352	0.04693	0.1365
United States	1998	40.0	0.7037	0.2487	0.252	0.1441	0.3533	0.04723	0.1351
United States	1999	40.0	0.7037	0.2487	0.2504	0.1441	0.3533	0.04723	0.1351
United States	2000	40.1	0.7016	0.2485	0.2501	0.1439	0.3531	0.04717	0.1353
United States	2001	40.6	0.6912	0.2473	0.2497	0.1428	0.3518	0.04688	0.1368
United States	2002	40.4	0.6954	0.2477	0.2494	0.1432	0.3523	0.04699	0.1362
United States	2003	40.8	0.6871	0.2468	0.249	0.1423	0.3513	0.04676	0.1374
United States	2004	40.5	0.6933	0.2475	0.2488	0.143	0.352	0.04693	0.1365
United States	2005	41.3	0.6767	0.2456	0.2483	0.1412	0.35	0.04647	0.1389
United States	2006	41.7	0.6684	0.2447	0.2477	0.1403	0.349	0.04624	0.1401
United States	2007	41.1	0.6809	0.2461	0.2475	0.1416	0.3505	0.04658	0.1383
United States	2008	41.1	0.6809	0.2461	0.2473	0.1416	0.3505	0.04658	0.1383
United States	2009	40.9	0.685	0.2465	0.2472	0.1421	0.351	0.0467	0.1377
United States	2010	40.2	0.6995	0.2482	0.2473	0.1436	0.3528	0.04711	0.1356
United States	2011	41.2	0.6788	0.2458	0.2471	0.1414	0.3502	0.04653	0.1386
United States	2012	41.2	0.6788	0.2458	0.2469	0.1414	0.3502	0.04653	0.1386
United States	2013	40.9	0.685	0.2465	0.2469	0.1421	0.351	0.0467	0.1377
United States	2014	41.7	0.6684	0.2447	0.2465	0.1403	0.349	0.04624	0.1401
United States	2015	41.5	0.6726	0.2451	0.2463	0.1408	0.3495	0.04635	0.1395
United States	2016	41.3	0.6767	0.2456	0.2462	0.1412	0.35	0.04647	0.1389
United States	2017	41.4	0.6746	0.2454	0.2461	0.141	0.3497	0.04641	0.1392
United States	2018	41.8	0.6663	0.2444	0.2458	0.1401	0.3487	0.04618	0.1404
United States	2019	41.9	0.6643	0.2442	0.2456	0.1399	0.3485	0.04612	0.1407
United States	2020	40.0	0.7037	0.2487	0.246	0.1441	0.3533	0.04723	0.1351
United States	2021	39.7	0.7099	0.2494	0.2465	0.1448	0.3541	0.04741	0.1342
United States	2022	41.7	0.6684	0.2447	0.2463	0.1403	0.349	0.04624	0.1401
United States	2023	41.8	0.6663	0.2444	0.246	0.1401	0.3487	0.04618	0.1404
United States	2024	41.8	0.6663	0.2444	0.2457	0.1401	0.3487	0.04618	0.1404
France	1970	37.1	0.7638	0.3685	0.3685	0.2629	0.474	0.07592	0.1277
France	1975	35.9	0.7887	0.4122	0.374	0.3117	0.5127	0.08395	0.1247
France	1979	34.0	0.8281	0.4805	0.3866	0.39	0.571	0.09457	0.1201
France	1984	33.4	0.8405	0.5115	0.4045	0.4244	0.5987	0.09998	0.1187
France	1990	32.1	0.8675	0.5455	0.4359	0.469	0.6219	0.1	0.1158
France	1996	32.0	0.8695	0.5483	0.4501	0.4727	0.6239	0.10003	0.1156
France	1997	31.9	0.8716	0.5514	0.4628	0.4767	0.6261	0.10007	0.1154
France	1998	31.7	0.8758	0.5591	0.4774	0.4866	0.6316	0.10009	0.1149
France	1999	32.5	0.8592	0.5349	0.4972	0.4552	0.6145	0.10001	0.1167
France	2000	32.6	0.8571	0.5323	0.5033	0.4518	0.6128	0.10003	0.1169
