code,config,policy,technology,kappa,sigma,multiplier,agency_gap,d_agency_gap,rate,rate_E,rate_U,A,shock_loss,shock_loss_income,consumption_drop,hardship,hand_to_mouth_kvw,mean_effort_employed,median_income,mean_labour_income,d_rate,d_rate_E,d_rate_U,d_A,d_shock_loss,d_shock_loss_income,d_consumption_drop,d_hardship,d_hand_to_mouth_kvw,d_mean_effort_employed,d_median_income,d_mean_labour_income
FR,GSA,subsidy,best,10.700000,0.940000,1.921529,0.147043,-0.000105,0.202540,0.209465,0.095996,0.831013,0.008457,0.030110,0.118091,0.040151,0.004947,0.529359,0.395405,0.438831,-0.044686,-0.046145,-0.022244,-0.000890,0.001064,0.008028,0.010565,-0.087843,-0.022691,0.023494,0.021982,0.018372
FR,GSA,subsidy,low multiplier,14.650000,1.500000,1.438324,0.147043,-0.000096,0.224792,0.232320,0.108956,0.831021,0.008447,0.030054,0.118028,0.040216,0.004976,0.528496,0.394671,0.438170,-0.022662,-0.023387,-0.011496,-0.000886,0.001060,0.007972,0.010498,-0.088428,-0.022731,0.022564,0.021163,0.017582
FR,GSA,subsidy,high multiplier,10.200000,0.580000,3.945983,0.147041,-0.000120,0.137013,0.141886,0.062019,0.830994,0.008479,0.030272,0.118386,0.039957,0.004865,0.532019,0.397837,0.441044,-0.101735,-0.105172,-0.048851,-0.000898,0.001073,0.008163,0.010804,-0.086481,-0.022490,0.025891,0.024255,0.020466
FR,GSA,empowerment,best,10.700000,0.940000,1.921529,0.074610,-0.072539,0.259473,0.268193,0.125292,0.868161,0.007300,0.021462,0.106745,0.126100,0.027731,0.499589,0.385171,0.433767,0.012247,0.012584,0.007052,0.036259,-0.000092,-0.000620,-0.000780,-0.001894,0.000094,-0.006276,0.011748,0.013309
FR,GSA,empowerment,low multiplier,14.650000,1.500000,1.438324,0.074601,-0.072539,0.253408,0.261814,0.124057,0.868162,0.007298,0.021487,0.106807,0.126589,0.027755,0.499941,0.385456,0.434122,0.005954,0.006106,0.003605,0.036256,-0.000088,-0.000595,-0.000724,-0.002055,0.000048,-0.005991,0.011948,0.013534
FR,GSA,empowerment,high multiplier,10.200000,0.580000,3.945983,0.074623,-0.072538,0.278086,0.287608,0.131565,0.868164,0.007297,0.021386,0.106579,0.125997,0.027811,0.498608,0.384390,0.432834,0.039338,0.040550,0.020694,0.036272,-0.000109,-0.000724,-0.001002,-0.000441,0.000456,-0.007521,0.010808,0.012256
FR,GSA,ui_up,best,10.700000,0.940000,1.921529,0.147230,0.000081,0.244745,0.253043,0.117060,0.832872,0.006231,0.016139,0.093629,0.230456,0.078737,0.507049,0.373308,0.421253,-0.002481,-0.002566,-0.001181,0.000970,-0.001162,-0.005943,-0.013896,0.102462,0.051100,0.001184,-0.000115,0.000795
FR,GSA,ui_up,low multiplier,14.650000,1.500000,1.438324,0.147216,0.000077,0.246273,0.254486,0.119890,0.832881,0.006219,0.016133,0.093549,0.230991,0.079149,0.507060,0.373353,0.421336,-0.001181,-0.001221,-0.000562,0.000974,-0.001167,-0.005949,-0.013982,0.102346,0.051442,0.001127,-0.000155,0.000749
FR,GSA,ui_up,high multiplier,10.200000,0.580000,3.945983,0.147244,0.000084,0.231005,0.239051,0.107199,0.832851,0.006257,0.016195,0.093891,0.228542,0.077559,0.507547,0.373643,0.421574,-0.007743,-0.008008,-0.003671,0.000959,-0.001149,-0.005914,-0.013690,0.102104,0.050205,0.001419,0.000061,0.000996
FR,GSA,ui_down,best,10.700000,0.940000,1.921529,0.147152,0.000003,0.250117,0.258597,0.119632,0.831106,0.008350,0.028019,0.118179,0.063976,0.013138,0.504584,0.373649,0.419556,0.002891,0.002988,0.001391,-0.000796,0.000958,0.005937,0.010654,-0.064018,-0.014499,-0.001281,0.000226,-0.000902
