u	r765	mi765	r911	mi911	r838	mi838
0.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
1.5	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
3.0	0.0	0.41575651936910374	0.0	0.4839920657166977	0.0	0.4476498320574422
4.5	0.0	0.41575651936910374	0.2319902319902318	0.465226910223992	0.02173913043478256	0.4465644593095054
6.0	0.7790697674418605	0.39433179397408735	1.0	0.4377989233790037	1.0	0.41169918640624104
7.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
12.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
13.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
15.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
16.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
18.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
19.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
21.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
22.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
24.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
25.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
27.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
28.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
30.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
31.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
33.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
34.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
36.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
37.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
39.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
40.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
42.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
43.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
45.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
46.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
48.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
49.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
51.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
52.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
54.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
55.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
57.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
58.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
60.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
