u	r	minc	pbase
0.0	0.0	0.4839920657166977	0.0
0.2	0.0	0.4839920657166977	0.0
0.4	0.0	0.4839920657166977	0.0
0.6	0.0	0.4839920657166977	0.0
0.8	0.0	0.4839920657166977	0.0
1.0	0.0	0.4839920657166977	0.0
1.2	0.0	0.4839920657166977	0.0
1.4	0.0	0.4839920657166977	0.0
1.6	0.0	0.4839920657166977	0.0
1.8	0.0	0.4839920657166977	0.0
2.0	0.0	0.4839920657166977	0.0
2.2	0.0	0.4839920657166977	0.0
2.4	0.0	0.4839920657166977	0.0
2.6	0.0	0.4839920657166977	0.0
2.8	0.0	0.4839920657166977	0.0
3.0	0.0	0.4839920657166977	0.0
3.2	0.0	0.4839920657166977	0.0
3.4	0.0	0.4839920657166977	0.0
3.6	0.0	0.4839920657166977	0.0
3.8	0.0	0.4839920657166977	0.0
4.0	0.0	0.4839920657166977	0.0
4.2	0.0	0.4839920657166977	0.0
4.4	0.2319902319902318	0.465226910223992	0.2542302121690467
4.6	0.4783105022831051	0.45806067384148597	0.5067890715455298
4.8	0.5	0.4572628755175243	0.5224804419650064
5.0	0.5	0.4567445018851838	0.530193341342795
5.2	0.5249406175771978	0.45546746154017853	0.5660432398211018
5.4	0.5681818181818183	0.4534239500862753	0.6063119792082056
5.6	0.7790697674418605	0.44598594441118417	0.7551131056414077
5.8	1.0	0.4377989233790037	0.911
6.0	1.0	0.4377989233790037	0.911
6.2	1.0	0.4377989233790037	0.911
6.4	1.0	0.4377989233790037	0.911
6.6	1.0	0.4377989233790037	0.911
6.8	1.0	0.4377989233790037	0.911
7.0	1.0	0.4377989233790037	0.911
7.2	1.0	0.4377989233790037	0.911
7.4	1.0	0.4377989233790037	0.911
7.6	1.0	0.4377989233790037	0.911
7.8	1.0	0.4377989233790037	0.911
8.0	1.0	0.4377989233790037	0.911
8.2	1.0	0.4377989233790037	0.911
8.4	1.0	0.4377989233790037	0.911
8.6	1.0	0.4377989233790037	0.911
8.8	1.0	0.4377989233790037	0.911
9.0	1.0	0.4377989233790037	0.911
9.2	1.0	0.4377989233790037	0.911
9.4	1.0	0.4377989233790037	0.911
9.6	1.0	0.4377989233790037	0.911
9.8	1.0	0.4377989233790037	0.911
10.0	1.0	0.4377989233790037	0.911
10.2	1.0	0.4377989233790037	0.911
10.4	1.0	0.4377989233790037	0.911
10.6	1.0	0.4377989233790037	0.911
10.8	1.0	0.4377989233790037	0.911
11.0	1.0	0.4377989233790037	0.911
11.2	1.0	0.4377989233790037	0.911
11.4	1.0	0.4377989233790037	0.911
11.6	1.0	0.4377989233790037	0.911
11.8	1.0	0.4377989233790037	0.911
12.0	1.0	0.4377989233790037	0.911
12.5	1.0	0.4377989233790037	0.911
13.0	1.0	0.4377989233790037	0.911
13.5	1.0	0.4377989233790037	0.911
14.0	1.0	0.4377989233790037	0.911
14.5	1.0	0.4377989233790037	0.911
15.0	1.0	0.4377989233790037	0.911
15.5	1.0	0.4377989233790037	0.911
16.0	1.0	0.4377989233790037	0.911
17.0	1.0	0.4377989233790037	0.911
18.0	1.0	0.4377989233790037	0.911
19.0	1.0	0.4377989233790037	0.911
20.0	1.0	0.4377989233790037	0.911
21.0	1.0	0.4377989233790037	0.911
22.0	1.0	0.4377989233790037	0.911
23.0	1.0	0.4377989233790037	0.911
24.0	1.0	0.4377989233790037	0.911
25.0	1.0	0.4377989233790037	0.911
26.0	1.0	0.4377989233790037	0.911
27.0	1.0	0.4377989233790037	0.911
28.0	1.0	0.4377989233790037	0.911
29.0	1.0	0.4377989233790037	0.911
30.0	1.0	0.4377989233790037	0.911
