u	r	minc	pbase
0.0	0.0	0.4476498320574422	0.0
0.2	0.0	0.4476498320574422	0.0
0.4	0.0	0.4476498320574422	0.0
0.6	0.0	0.4476498320574422	0.0
0.8	0.0	0.4476498320574422	0.0
1.0	0.0	0.4476498320574422	0.0
1.2	0.0	0.4476498320574422	0.0
1.4	0.0	0.4476498320574422	0.0
1.6	0.0	0.4476498320574422	0.0
1.8	0.0	0.4476498320574422	0.0
2.0	0.0	0.4476498320574422	0.0
2.2	0.0	0.4476498320574422	0.0
2.4	0.0	0.4476498320574422	0.0
2.6	0.0	0.4476498320574422	0.0
2.8	0.0	0.4476498320574422	0.0
3.0	0.0	0.4476498320574422	0.0
3.2	0.0	0.4476498320574422	0.0
3.4	0.0	0.4476498320574422	0.0
3.6	0.0	0.4476498320574422	0.0
3.8	0.0	0.4476498320574422	0.0
4.0	0.0	0.4476498320574422	0.0
4.2	0.0	0.4476498320574422	0.0
4.4	0.02173913043478256	0.4465644593095054	0.014109845723178712
4.6	0.23170731707317072	0.4345378458325043	0.23795115656026547
4.8	0.5	0.4223389161015466	0.4806131837175361
5.0	0.5	0.4223389161015466	0.4806131837175361
5.2	0.5	0.4219401398616	0.48770803517591904
5.4	0.5453460620525061	0.41953173474368355	0.5338865870957257
5.6	0.5681818181818183	0.41888566960091367	0.5577271554077676
5.8	0.7790697674418605	0.415456056323279	0.6946045911388579
6.0	1.0	0.41169918640624104	0.838
6.2	1.0	0.41169918640624104	0.838
6.4	1.0	0.41169918640624104	0.838
6.6	1.0	0.41169918640624104	0.838
6.8	1.0	0.41169918640624104	0.838
7.0	1.0	0.41169918640624104	0.838
7.2	1.0	0.41169918640624104	0.838
7.4	1.0	0.41169918640624104	0.838
7.6	1.0	0.41169918640624104	0.838
7.8	1.0	0.41169918640624104	0.838
8.0	1.0	0.41169918640624104	0.838
8.2	1.0	0.41169918640624104	0.838
8.4	1.0	0.41169918640624104	0.838
8.6	1.0	0.41169918640624104	0.838
8.8	1.0	0.41169918640624104	0.838
9.0	1.0	0.41169918640624104	0.838
9.2	1.0	0.41169918640624104	0.838
9.4	1.0	0.41169918640624104	0.838
9.6	1.0	0.41169918640624104	0.838
9.8	1.0	0.41169918640624104	0.838
10.0	1.0	0.41169918640624104	0.838
10.2	1.0	0.41169918640624104	0.838
10.4	1.0	0.41169918640624104	0.838
10.6	1.0	0.41169918640624104	0.838
10.8	1.0	0.41169918640624104	0.838
11.0	1.0	0.41169918640624104	0.838
11.2	1.0	0.41169918640624104	0.838
11.4	1.0	0.41169918640624104	0.838
11.6	1.0	0.41169918640624104	0.838
11.8	1.0	0.41169918640624104	0.838
12.0	1.0	0.41169918640624104	0.838
12.5	1.0	0.41169918640624104	0.838
13.0	1.0	0.41169918640624104	0.838
13.5	1.0	0.41169918640624104	0.838
14.0	1.0	0.41169918640624104	0.838
14.5	1.0	0.41169918640624104	0.838
15.0	1.0	0.41169918640624104	0.838
15.5	1.0	0.41169918640624104	0.838
16.0	1.0	0.41169918640624104	0.838
17.0	1.0	0.41169918640624104	0.838
18.0	1.0	0.41169918640624104	0.838
19.0	1.0	0.41169918640624104	0.838
20.0	1.0	0.41169918640624104	0.838
21.0	1.0	0.41169918640624104	0.838
22.0	1.0	0.41169918640624104	0.838
23.0	1.0	0.41169918640624104	0.838
24.0	1.0	0.41169918640624104	0.838
25.0	1.0	0.41169918640624104	0.838
26.0	1.0	0.41169918640624104	0.838
27.0	1.0	0.41169918640624104	0.838
28.0	1.0	0.41169918640624104	0.838
29.0	1.0	0.41169918640624104	0.838
30.0	1.0	0.41169918640624104	0.838
