u	r	minc	pbase
0.0	1.0672595451170013e-18	0.44092987690285546	7.293284260928275e-19
0.2	6.151284921200853e-18	0.44092987690285534	4.203576318950753e-18
0.4	3.545370604077274e-17	0.44092987690285523	2.4227841994179767e-17
0.6	2.0434190386682045e-16	0.44092987690285534	1.3964022136308737e-16
0.8	1.1777508486189873e-15	0.4409298769117004	8.048343614036783e-16
1.0	6.788114953944639e-15	0.4409298765560471	4.6387639327398525e-15
1.2	3.9124181330298617e-14	0.4409298769426172	2.673611714768435e-14
1.4	2.2549696996032653e-13	0.44092987705638303	1.5409686119705685e-13
1.6	1.2996797701634918e-12	0.440929877348034	8.881564083736532e-13
1.8	7.490874543464736e-12	0.4409298780491605	5.119005526370336e-12
2.0	4.3174565524890757e-11	0.4409298771486801	2.9504011476735455e-11
2.2	2.488419285492584e-10	0.44092987711409765	1.7005001122910024e-10
2.4	1.4342325342905594e-9	0.440929876963678	9.801051293021694e-10
2.6	8.266388500369109e-9	0.44092987599518496	5.648965134698811e-9
2.8	4.764438495829662e-8	0.44092987386241195	3.255853401898158e-8
3.0	2.7460471827776153e-7	0.4409298603485599	1.8765552931437232e-7
3.2	1.5827263377441672e-6	0.4409297822939152	1.0815849735474854e-6
3.4	9.122535165389566e-6	0.4409293266105454	6.2341701544694285e-6
3.6	5.2583037941543144e-5	0.4409267103158899	3.593852613567857e-5
3.8	0.0003022109977825378	0.44091198408002097	0.00020673768013321754
4.0	0.0016372081963225602	0.44083884325072764	0.0011285468922500063
4.2	0.006783472389435265	0.44056325449661177	0.004833951539926502
4.4	0.021773313520180464	0.439992135542144	0.01642748476271868
4.6	0.058533221352400404	0.43883232515348214	0.04672621173832354
4.8	0.12384184382649023	0.43697102900339063	0.10384768217545827
5.0	0.1771355975404788	0.4344011605663603	0.15101712744593548
5.2	0.2390100930438045	0.43170424175965205	0.2056910346987781
5.4	0.3422803984398793	0.4292644891436141	0.2989100495175304
5.6	0.3979032871738876	0.42661086382934177	0.3497062012961154
5.8	0.45075753013890646	0.4239916465827226	0.39742491485488673
6.0	0.5168253675653874	0.42188572001291164	0.45647679752763454
6.2	0.5599547908068148	0.42033257757680365	0.49405551970818185
6.4	0.5927270383735326	0.4192053773315401	0.5198296086757738
6.6	0.6306809647916788	0.41784802542909855	0.5451069405490325
6.8	0.7666964677629947	0.4121279366470983	0.6265381972451691
7.0	0.8490070309239225	0.4090026014358438	0.675488434187874
7.2	0.923983684540984	0.4074102383664488	0.7199503388239977
7.4	0.9786596755950877	0.4068538928298098	0.7523539544128849
7.6	0.995660766241475	0.40636131595483815	0.7624286612167069
7.8	0.9992229252179917	0.40625589863106665	0.7645395232511543
8.0	0.999864414024938	0.4062368437547943	0.7649196548953192
8.2	0.9999764524498036	0.40623351276228337	0.7649860462691361
8.4	0.9999959137583317	0.4062329347128444	0.7649975785882154
8.6	0.999999291008393	0.40623283380880204	0.7649995798680624
8.8	0.9999998769879834	0.40623281626188806	0.7649999271059394
9.0	0.999999978657163	0.40623281259798744	0.764999987352731
9.2	0.999999996296977	0.40623281195967903	0.7649999978056746
9.4	0.999999999357519	0.4062328116316722	0.7649999996192803
9.6	0.9999999998885284	0.4062328121704867	0.7649999999339445
9.8	0.9999999999806601	0.40623281246230675	0.7649999999885391
10.0	0.9999999999966441	0.4062328125281497	0.7649999999980116
10.2	0.9999999999994179	0.4062328126197739	0.7649999999996547
10.4	0.9999999999998996	0.4062328130482491	0.7649999999999402
10.6	0.999999999999982	0.40623281213966095	0.7649999999999896
10.8	0.9999999999999968	0.40623281211196255	0.7649999999999985
11.0	0.9999999999999994	0.40623281194066	0.7649999999999997
11.2	1.0000000000000004	0.40623281201469974	0.7649999999999998
11.4	1.0000000000000004	0.40623281177937665	0.7649999999999996
11.6	0.9999999999999998	0.4062328111134412	0.765
11.8	1.0000000000000007	0.406232812030663	0.7650000000000002
12.0	0.999999999999999	0.40623281183006676	0.765
12.5	0.9999999999999996	0.40623281035942277	0.7649999999999998
13.0	1.0	0.4062328116736939	0.7650000000000003
13.5	0.9999999999999999	0.40623281054884286	0.7650000000000001
14.0	0.9999999999999992	0.40623281182067805	0.7649999999999993
14.5	1.0	0.40623281102071573	0.7649999999999999
15.0	1.0000000000000013	0.40623281153911733	0.7650000000000001
15.5	1.0000000000000007	0.4062328106679836	0.7650000000000001
16.0	0.9999999999999993	0.40623281122189286	0.7649999999999998
17.0	1.0000000000000002	0.4062328114641715	0.7649999999999999
18.0	1.0000000000000004	0.40623281135417255	0.7650000000000001
19.0	0.9999999999999996	0.40623281101550174	0.7649999999999992
20.0	1.0000000000000002	0.40623281121694294	0.7649999999999999
21.0	0.9999999999999999	0.406232810327893	0.7649999999999999
22.0	0.9999999999999999	0.4062328111616621	0.7650000000000001
23.0	0.9999999999999998	0.4062328105155424	0.765
24.0	0.9999999999999999	0.40623281089374774	0.7650000000000002
25.0	0.9999999999999998	0.4062328109138216	0.7649999999999992
26.0	0.9999999999999992	0.4062328110131433	0.7649999999999997
27.0	1.0000000000000002	0.4062328106003212	0.7650000000000001
28.0	1.0	0.4062328102683355	0.7649999999999998
29.0	1.0000000000000002	0.40623281075324813	0.7649999999999997
30.0	1.0000000000000004	0.40623281057084654	0.7650000000000002
