u	r	minc	pbase
0.0	2.031155463603782e-35	0.4397870437668668	1.214515159426969e-35
0.2	6.747373594274443e-34	0.4397870437668668	4.034544702956449e-34
0.4	2.2414360316875394e-32	0.4397870437668668	1.3402509498413374e-32
0.6	7.445912715445066e-31	0.4397870437668668	4.452231269699649e-31
0.8	2.4734864337970672e-29	0.4397870437668668	1.4790038597801264e-29
1.0	8.216769887037058e-28	0.4397870437668668	4.913159907328597e-28
1.2	2.729560447714876e-26	0.43978704376686684	1.6321215198565716e-26
1.4	9.067432020316197e-25	0.4397870437668667	5.421807361908441e-25
1.6	3.012145179341912e-23	0.4397870437668667	1.8010910775952532e-23
1.8	1.0006156549930813e-21	0.4397870445123652	5.983111114251896e-22
2.0	3.323984084196557e-20	0.4397870437710394	1.9875529637451725e-20
2.2	1.104207121363764e-18	0.439787044454302	6.602529016630092e-19
2.4	3.668107433650183e-17	0.43978704498025645	2.193319107917417e-17
2.6	1.2185227765632837e-15	0.4397870449740885	7.286071461675553e-16
2.8	4.047857374987823e-14	0.4397870452404162	2.420387921326642e-14
3.0	1.3446745658589755e-12	0.43978704238666666	8.040387192541496e-13
3.2	4.466922964361313e-11	0.43978704352319925	2.670965243520346e-11
3.4	1.4838844995346204e-9	0.4397870439381012	8.87278328378398e-10
3.6	4.929336913059226e-8	0.43978704271263513	2.947462589768613e-8
3.8	1.6371102566029707e-6	0.43978697501234604	9.789003917411137e-7
4.0	5.3964036508858464e-5	0.43978468228690415	3.2269381218316265e-5
4.2	0.0027811000599054663	0.4397250757901522	0.0016580542689466414
4.4	0.012214495939230035	0.43933638015536935	0.007552381762510167
4.6	0.0397900329966765	0.43850761315065234	0.028971062174253222
4.8	0.09039457432891901	0.43646595918012165	0.07174029944390668
5.0	0.16085816241692116	0.433773175675871	0.13390188109604584
5.2	0.23682701018819385	0.43081053372384226	0.20254539030551336
5.4	0.3276335318274755	0.42778404533337683	0.28597596399789155
5.6	0.40219871157382914	0.42469064507013415	0.35345857128512637
5.8	0.4824647354549638	0.42191877702448255	0.42655064158314543
6.0	0.5329067516118668	0.4200420312242433	0.4727436796729559
6.2	0.569701990300133	0.41881494714665957	0.5046290147650899
6.4	0.5942956084320616	0.41797607355315886	0.5239274233275527
6.6	0.6122228056070288	0.41732780912468964	0.5351916022651462
6.8	0.7789993345194606	0.4122471260635417	0.6340521691054877
7.0	0.8336112269064566	0.410802290286015	0.6664124697175869
7.2	0.9353188406380664	0.40914416379389396	0.7266756005861298
7.4	0.994461312506445	0.40813317968880825	0.7617182583000538
7.6	0.9998216147088621	0.408046815602754	0.7648943044813756
7.8	0.9999946186253149	0.40804396176698193	0.7649968114681175
8.0	0.999999837994584	0.4080438748076166	0.7649999040097619
8.2	0.9999999951231571	0.40804387265981185	0.7649999971104094
8.4	0.9999999998531927	0.4080438733210482	0.7649999999130145
8.6	0.9999999999955812	0.4080438727153835	0.7649999999973819
8.8	0.999999999999867	0.40804387188240987	0.7649999999999211
9.0	0.9999999999999959	0.40804387295990374	0.7649999999999975
9.2	0.9999999999999994	0.40804387183565777	0.7649999999999999
9.4	1.0000000000000004	0.4080438725213071	0.7650000000000007
9.6	0.9999999999999998	0.40804387368970757	0.7649999999999997
9.8	0.9999999999999999	0.4080438733772967	0.7649999999999997
10.0	1.0	0.4080438718499859	0.7650000000000001
10.2	1.0	0.4080438730122268	0.7650000000000002
10.4	1.0000000000000004	0.40804387429866995	0.7649999999999998
10.6	0.9999999999999997	0.4080438724386923	0.7649999999999998
10.8	0.9999999999999998	0.40804387329848524	0.7649999999999999
11.0	1.0000000000000002	0.40804387419053934	0.7649999999999995
11.2	0.9999999999999994	0.40804387246148294	0.765
11.4	1.0	0.40804387155547917	0.7649999999999999
11.6	1.0	0.40804387163673084	0.7650000000000001
11.8	0.9999999999999998	0.4080438717146197	0.7649999999999998
12.0	1.0000000000000009	0.40804387234180717	0.7649999999999996
12.5	0.9999999999999998	0.4080438711368298	0.7649999999999999
13.0	0.9999999999999993	0.40804387192234504	0.7649999999999992
13.5	0.9999999999999996	0.4080438710555376	0.765
14.0	1.0000000000000004	0.40804387101163875	0.7650000000000003
14.5	1.0000000000000002	0.40804387097111566	0.7649999999999997
15.0	1.0000000000000004	0.4080438713858847	0.7649999999999993
15.5	1.0000000000000007	0.40804387153214694	0.7649999999999998
16.0	1.0000000000000002	0.4080438703118564	0.7649999999999999
17.0	1.0000000000000002	0.4080438713885753	0.7649999999999999
18.0	1.0	0.40804387092733885	0.7650000000000003
19.0	1.0	0.4080438714797157	0.7649999999999999
20.0	0.9999999999999999	0.4080438707325162	0.765
21.0	1.0000000000000002	0.4080438716171195	0.7650000000000002
22.0	0.9999999999999999	0.40804387118363433	0.7649999999999995
23.0	1.0000000000000004	0.40804387154419225	0.7650000000000003
24.0	1.0	0.40804387132490455	0.7649999999999996
25.0	1.0	0.4080438714698296	0.7649999999999997
26.0	0.9999999999999998	0.40804387123355035	0.7650000000000001
27.0	0.9999999999999993	0.4080438700077409	0.7649999999999998
28.0	0.9999999999999998	0.40804387047007157	0.7650000000000003
29.0	0.9999999999999999	0.40804387121341656	0.7649999999999997
30.0	0.9999999999999999	0.40804387089381794	0.7649999999999997
