u	r765	mi765	r911	mi911
0.0	0.0	0.4422000198407504	0.0	0.4951282250310742
1.5	0.0	0.4422000198407504	0.0	0.4951282250310742
3.0	0.0	0.4422000198407504	0.0	0.4951282250310742
4.5	0.0	0.4422000198407504	0.019791666666666676	0.49480082455061836
6.0	0.521734156943491	0.4186394089797998	0.6041666666666666	0.46427466770917736
7.5	1.0	0.4044716344317357	1.0	0.4571131971350113
9.0	1.0	0.4044716344317357	1.0	0.4571131971350113
10.5	1.0	0.4044716344317357	1.0	0.4571131971350113
12.0	1.0	0.4044716344317357	1.0	0.4571131971350113
13.5	1.0	0.4044716344317357	1.0	0.4571131971350113
15.0	1.0	0.4044716344317357	1.0	0.4571131971350113
16.5	1.0	0.4044716344317357	1.0	0.4571131971350113
18.0	1.0	0.4044716344317357	1.0	0.4571131971350113
19.5	1.0	0.4044716344317357	1.0	0.4571131971350113
21.0	1.0	0.4044716344317357	1.0	0.4571131971350113
22.5	1.0	0.4044716344317357	1.0	0.4571131971350113
24.0	1.0	0.4044716344317357	1.0	0.4571131971350113
25.5	1.0	0.4044716344317357	1.0	0.4571131971350113
27.0	1.0	0.4044716344317357	1.0	0.4571131971350113
28.5	1.0	0.4044716344317357	1.0	0.4571131971350113
30.0	1.0	0.4044716344317357	1.0	0.4571131971350113
31.5	1.0	0.4044716344317357	1.0	0.4571131971350113
33.0	1.0	0.4044716344317357	1.0	0.4571131971350113
34.5	1.0	0.4044716344317357	1.0	0.4571131971350113
36.0	1.0	0.4044716344317357	1.0	0.4571131971350113
37.5	1.0	0.4044716344317357	1.0	0.4571131971350113
39.0	1.0	0.4044716344317357	1.0	0.4571131971350113
40.5	1.0	0.4044716344317357	1.0	0.4571131971350113
42.0	1.0	0.4044716344317357	1.0	0.4571131971350113
43.5	1.0	0.4044716344317357	1.0	0.4571131971350113
45.0	1.0	0.4044716344317357	1.0	0.4571131971350113
46.5	1.0	0.4044716344317357	1.0	0.4571131971350113
48.0	1.0	0.4044716344317357	1.0	0.4571131971350113
49.5	1.0	0.4044716344317357	1.0	0.4571131971350113
51.0	1.0	0.4044716344317357	1.0	0.4571131971350113
52.5	1.0	0.4044716344317357	1.0	0.4571131971350113
54.0	1.0	0.4044716344317357	1.0	0.4571131971350113
55.5	1.0	0.4044716344317357	1.0	0.4571131971350113
57.0	1.0	0.4044716344317357	1.0	0.4571131971350113
58.5	1.0	0.4044716344317357	1.0	0.4571131971350113
60.0	1.0	0.4044716344317357	1.0	0.4571131971350113
