sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.3	10.05	0.2137813471714735	0.20506911155299445	0.14803687198356405	0.2621011311275292	0.4393863497232474	0.6827704142128186	2.0
0.31	10.0	0.20277958219728068	0.21270727589629507	0.15406104496764078	0.27135152991586337	0.44349173927069463	0.6989983635541516	2.0
0.32	9.95	0.1964087899276842	0.2173543147970622	0.15850358063486936	0.2762046663335942	0.4460333353209266	0.7174351660728586	2.0
0.33	9.9	0.1933017702167549	0.2198804310098707	0.16173254001713666	0.27802782237494134	0.44760193852034863	0.7372622225249763	2.0
0.34	9.85	0.19211681161351246	0.2211499628267953	0.16418168503268865	0.2781160678809297	0.4486188689798106	0.7578816307329712	2.0
0.35	9.85	0.13261740254752372	0.26138404288195727	0.19205586194068464	0.3307110553193845	0.4606262195563441	0.7598351659988121	2.0
0.36	9.8	0.15147556057309142	0.24928580288300264	0.18573487109517334	0.312832807647826	0.4586320276251881	0.7849430007409032	1.0
0.37	9.8	0.10083884289329033	0.2842862343058043	0.21196156857231951	0.35661076094870814	0.464793962245786	0.7960516488042106	1.0
0.38	9.8	0.04888564199793287	0.32186483215689154	0.24194633864470885	0.40178232137146846	0.4657502707920424	0.8158878777542785	1.0
0.39	9.8	0.024991955422838313	0.3453889335394665	0.26244885859036576	0.42832919577740103	0.46411832774104034	0.8403029501080262	1.0
0.4	9.8	0.02559007084145769	0.35595369435010515	0.2730414418993924	0.43886700036523185	0.46317478903697407	0.863604862500556	1.0
0.41	9.8	0.030036296252405	0.36090181873373656	0.2791292370481736	0.4426742480554179	0.4629233286146315	0.8856758228775969	1.0
0.42	9.8	0.03373480621663472	0.36331930830875975	0.28310856300450693	0.44353005361301256	0.46304352465781967	0.9070421626355146	1.0
0.43	9.8	0.03664778129296871	0.36443557907324464	0.28595635958113363	0.44291479856535565	0.4633587793299864	0.928006588375809	1.0
0.44	9.8	0.039053336304769634	0.3647968545485497	0.288112828337688	0.44148088075941144	0.46378027003929856	0.9487251365020691	1.0
0.45	9.8	0.04115502381214345	0.36468449120492114	0.2898088560832945	0.43956012632654773	0.4642596192060533	0.9692852477016218	1.0
0.46	9.8	0.04307824446505286	0.3642553793357864	0.2911747354404235	0.4373360232311493	0.46476906777143084	0.9897388442946548	1.0
0.47	9.8	0.04489963774467342	0.3636042211481096	0.29229069708634187	0.43491774520987736	0.465291894203773	1.0101186069537784	1.0
0.48	9.8	0.04666605756035349	0.36279203192600823	0.29320953319282994	0.43237453065918663	0.46581753473519943	1.0304463962973458	1.0
0.49	9.8	0.04840673114296558	0.36185892837151545	0.2939676560662029	0.4297501397537799	0.466339491740005	1.0507366600493409	1.0
0.5	9.8	0.05013905330253339	0.3608329832021896	0.2945910694176129	0.4270748785331918	0.46685344486239216	1.0709999155032004	1.0
0.51	9.8	0.05187220949334083	0.3597343002007629	0.29509826871629125	0.424370480369031	0.4673563636496518	1.0912443686811881	1.0
0.52	9.8	0.053612204663770785	0.3585772357497324	0.29550364222289865	0.42165062552082533	0.4678463655549806	1.1114759850344298	1.0
0.53	9.8	0.05536326442217554	0.3573738431795388	0.29582088103296145	0.4189268941230053	0.4683225081188004	1.1316987563312968	1.0
0.54	9.8	0.057124668937836874	0.3561315476424725	0.2960570928392919	0.4162069237794143	0.4687839187306876	1.151916647358856	1.0
0.55	9.8	0.0588977395409472	0.3548583139466475	0.29622096317019797	0.4134956675632541	0.46922962261719486	1.172134011770819	1.0
0.56	9.8	0.0606816708145903	0.3535593008419265	0.29632003269885426	0.4107989828750915	0.4696600857140413	1.192351696543707	1.0
0.57	9.8	0.06247510239387608	0.35223863276100154	0.2963583878363229	0.40811875961313504	0.4700746837356703	1.2125732776550016	1.0
0.58	9.85	0.06399109586665541	0.3593986636616747	0.3036604034399985	0.41513710492698463	0.4692276905033823	1.236073683924711	1.0
0.59	9.85	0.06540171170054736	0.35762013234988077	0.3032340363390689	0.4120062996220136	0.46971487203708473	1.25608115715233	1.0
