sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.3	14.7	0.35444928156074823	0.11617982820938452	0.10639725937533881	0.1259436066299311	0.6672103343760742	0.44963332332155465	2.0
0.31	14.55	0.35039155689001683	0.118850644404923	0.1080200146957126	0.1296627918695609	0.6717458109396388	0.4614840836392737	2.0
0.32	14.4	0.34764420322258827	0.12073731160330711	0.10940374815808848	0.1320547437021995	0.6748691952885493	0.4741659602097852	2.0
0.33	14.25	0.3462266643498797	0.1218104444390283	0.1104808211958626	0.13312888763305764	0.6766624388572315	0.4876877761344552	2.0
0.34	14.1	0.3458485299831126	0.1222407741205044	0.11128697549945293	0.13318790659857918	0.6774461749399717	0.5018848914899067	2.0
0.35	13.95	0.3460518005407483	0.12230820744058933	0.11192636045187648	0.1326870334836146	0.6776639723374848	0.5164801646348934	2.0
0.36	13.85	0.33154953954634775	0.13163062960849412	0.11691759176862407	0.14633213901907133	0.6908818429057532	0.5210731816107512	2.0
0.37	13.7	0.3365261720144841	0.12870483297158056	0.11615813265816771	0.14123436234390732	0.6871391609190458	0.5384644349262914	2.0
0.38	13.6	0.3220586107838477	0.13811825067254105	0.1215698685223914	0.1546570635537968	0.6990366166533284	0.543605286114007	2.0
0.39	13.45	0.3312306656511836	0.1324821737703146	0.1193309888490715	0.1456328477109189	0.6924110768256361	0.5632492215288611	2.0
0.4	13.35	0.32183328199216965	0.13872828000882406	0.12327557093249122	0.15416629591041306	0.7000381329456289	0.5713974441890404	2.0
0.41	13.25	0.3114103074124911	0.14568738101870213	0.12780070912159555	0.16356726291927226	0.7075559544487362	0.5794594723175427	2.0
0.42	13.15	0.29778398457480254	0.15480615381691698	0.13377352152521899	0.1758345259326086	0.7158908849978745	0.5866815862605192	2.0
0.43	13.0	0.31924889341150653	0.14106923575206498	0.12654019305659453	0.15558951782592984	0.7030693399882961	0.611603970679703	2.0
0.44	12.9	0.3154150209456023	0.14378725196810643	0.12874139723021633	0.15882481786313837	0.7060934185998973	0.6231470063443869	2.0
0.45	12.85	0.28899645147623815	0.16138391705440916	0.14001245970723852	0.18275163247232767	0.7214563468033502	0.6237383619866581	2.0
0.46	12.75	0.29192434090388336	0.1597093125829387	0.13970093747541418	0.1797150806678918	0.7204364124876773	0.6385018747339732	2.0
0.47	12.65	0.29408850914961804	0.15853066413741906	0.13965695686575172	0.1773968744755145	0.7197138840880947	0.6530372838305157	2.0
0.48	12.55	0.2961032591546845	0.15743505949249567	0.13963677999458107	0.1752326443114799	0.7190303890779991	0.667565665222434	2.0
0.49	12.5	0.27892530560553225	0.1691636210072641	0.1478822759978871	0.19044018694765585	0.7272220040214684	0.6737969936145313	2.0
0.5	11.75	0.2665562819031597	0.537555645374404	0.45623692965792073	0.6188744511976593	0.5445438594575867	0.9181996845911434	2.0
0.51	11.8	0.24124948882667452	0.5193017038981432	0.44021071125810873	0.598395421700995	0.5613900415432114	0.908459292576789	2.0
0.52	11.85	0.2258393602813296	0.5080310466587724	0.4310018277052628	0.5850620413722322	0.5718026708680345	0.9094046364117282	2.0
0.53	11.9	0.21789323362417215	0.502065752862957	0.4268577308020767	0.5772745234315896	0.5774584402387531	0.9178149682613849	2.0
0.54	11.95	0.21271271773601472	0.49806033924660686	0.4245415545891905	0.5715810265141321	0.5813577899874255	0.9288600054910763	2.0
0.55	12.0	0.2085844808873795	0.49479193932426835	0.42288131696750864	0.566702767364949	0.5845834473468828	0.9408408713865593	2.0
0.56	12.05	0.20491845228642988	0.49183523587072026	0.4214742732325319	0.5621969059593037	0.5875100797609395	0.9531751356978702	2.0
0.57	12.05	0.14094430345081507	0.44359579424110207	0.37783637522374697	0.5093561946631421	0.6280948361212841	0.907506266919752	2.0
0.58	12.1	0.15320292122744825	0.4525880480792142	0.38739109789249737	0.5177851111418866	0.62115635537857	0.933742358067822	1.0
0.59	12.1	0.10689990948521957	0.4145462321909426	0.353885395316067	0.475207445090144	0.6514598278735022	0.9056582996466265	1.0
0.6	12.1	0.07622793328810214	0.38097887022447036	0.32508854492699885	0.436869568395463	0.6761971813316151	0.8873151449972592	1.0
0.61	12.1	0.06891856462580855	0.35886899300647235	0.306788182028214	0.4109504042016799	0.6912885607361678	0.8824100884157523	1.0
0.62	12.1	0.0718403001149827	0.346003122540735	0.29664441293472993	0.3953618497514312	0.6996106305025971	0.8862072315204742	1.0
0.63	12.15	0.07358744602586959	0.36814797906906516	0.31691488835176884	0.41938121606790074	0.6857306034703124	0.9187281372768348	1.0
0.64	12.15	0.07296472360588684	0.3573752798994762	0.30843934892511293	0.40631140437033525	0.6929961334781398	0.9235260762391951	1.0
0.65	12.15	0.07501344659000632	0.3491684540922217	0.3022048010277175	0.3961327936591459	0.6983739671171848	0.9307334330962143	1.0
0.66	12.2	0.07578655073031458	0.3609554010415308	0.3134131942953525	0.4084985776043951	0.691138691425471	0.9549458136090637	1.0
0.67	12.2	0.07687545414335249	0.3535375890035766	0.3077816854616937	0.39929386353751073	0.696073768806273	0.9625416586937502	1.0
